Flavour,BrewID
American IPA,0
American IPA,0
American Porter,0
American Porter,0
English Brown Ale,0
English Brown Ale,0
Extra Special / Strong Bitter (ESB),0
Extra Special / Strong Bitter (ESB),0
Milk / Sweet Stout,0
Milk / Sweet Stout,0
Pumpkin Ale,0
Pumpkin Ale,0
American Double / Imperial IPA,1
American Double / Imperial IPA,1
American Double / Imperial IPA,1
American Double / Imperial IPA,1
American IPA,1
American IPA,1
American Pale Ale (APA),1
American Pale Ale (APA),1
American Pilsner,1
American Pilsner,1
American Wild Ale,1
American Wild Ale,1
Belgian Pale Ale,1
Belgian Pale Ale,1
English Barleywine,1
English Barleywine,1
English Brown Ale,1
English Brown Ale,1
German Pilsener,1
German Pilsener,1
Milk / Sweet Stout,1
Milk / Sweet Stout,1
Pumpkin Ale,1
Pumpkin Ale,1
Saison / Farmhouse Ale,1
Saison / Farmhouse Ale,1
American India Pale Lager,2
American India Pale Lager,2
American India Pale Lager,2
American India Pale Lager,2
American India Pale Lager,2
American India Pale Lager,2
American Pale Lager,2
American Pale Lager,2
Keller Bier / Zwickel Bier,2
Keller Bier / Zwickel Bier,2
American Double / Imperial IPA,3
American Double / Imperial IPA,3
American Double / Imperial IPA,3
American Double / Imperial IPA,3
American IPA,3
American IPA,3
Cream Ale,3
Cream Ale,3
Kölsch,3
Kölsch,3
Wheat Ale,3
Wheat Ale,3
American Amber / Red Ale,4
American Amber / Red Ale,4
American IPA,4
American IPA,4
American Pale Wheat Ale,4
American Pale Wheat Ale,4
Kölsch,4
Kölsch,4
American Brown Ale,5
American Brown Ale,5
American Double / Imperial IPA,5
American Double / Imperial IPA,5
American Double / Imperial Stout,5
American Double / Imperial Stout,5
American IPA,5
American IPA,5
American Pale Ale (APA),5
American Pale Ale (APA),5
Kölsch,5
Kölsch,5
American IPA,6
American IPA,6
American IPA,6
American IPA,6
American IPA,6
American IPA,6
American Pale Ale (APA),6
American Pale Ale (APA),6
American Pale Wheat Ale,6
American Pale Wheat Ale,6
Old Ale,6
Old Ale,6
Russian Imperial Stout,6
Russian Imperial Stout,6
Saison / Farmhouse Ale,6
Saison / Farmhouse Ale,6
Tripel,6
Tripel,6
American IPA,7
American IPA,7
American Porter,7
American Porter,7
Witbier,7
Witbier,7
American IPA,8
American IPA,8
American Stout,8
American Stout,8
American Pale Ale (APA),9
American Pale Ale (APA),9
American Amber / Red Ale,10
American Amber / Red Ale,10
American Amber / Red Ale,10
American Amber / Red Ale,10
American Black Ale,10
American Black Ale,10
American Double / Imperial IPA,10
American Double / Imperial IPA,10
American Double / Imperial Stout,10
American Double / Imperial Stout,10
American Double / Imperial Stout,10
American Double / Imperial Stout,10
American IPA,10
American IPA,10
American Porter,10
American Porter,10
American Stout,10
American Stout,10
American Stout,10
American Stout,10
American Wild Ale,10
American Wild Ale,10
American Wild Ale,10
American Wild Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian Dark Ale,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian IPA,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Pale Ale,10
Belgian Strong Dark Ale,10
Belgian Strong Dark Ale,10
Belgian Strong Pale Ale,10
Belgian Strong Pale Ale,10
Bière de Garde,10
Bière de Garde,10
Bière de Garde,10
Bière de Garde,10
Bière de Garde,10
Bière de Garde,10
Bière de Garde,10
Bière de Garde,10
Doppelbock,10
Doppelbock,10
Dubbel,10
Dubbel,10
Dunkelweizen,10
Dunkelweizen,10
Fruit / Vegetable Beer,10
Fruit / Vegetable Beer,10
Fruit / Vegetable Beer,10
Fruit / Vegetable Beer,10
Oatmeal Stout,10
Oatmeal Stout,10
Quadrupel (Quad),10
Quadrupel (Quad),10
Quadrupel (Quad),10
Quadrupel (Quad),10
Rauchbier,10
Rauchbier,10
Rauchbier,10
Rauchbier,10
Russian Imperial Stout,10
Russian Imperial Stout,10
Rye Beer,10
Rye Beer,10
Rye Beer,10
Rye Beer,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Saison / Farmhouse Ale,10
Tripel,10
Tripel,10
Tripel,10
Tripel,10
Witbier,10
Witbier,10
Witbier,10
Witbier,10
Witbier,10
Witbier,10
American Amber / Red Ale,11
American Amber / Red Ale,11
American IPA,11
American IPA,11
American Pale Lager,11
American Pale Lager,11
Dubbel,11
Dubbel,11
American Brown Ale,12
American Brown Ale,12
American IPA,12
American IPA,12
American IPA,12
American IPA,12
American Pale Wheat Ale,12
American Pale Wheat Ale,12
Cream Ale,12
Cream Ale,12
Foreign / Export Stout,12
Foreign / Export Stout,12
American Black Ale,13
American Black Ale,13
American Blonde Ale,13
American Blonde Ale,13
American Brown Ale,13
American Brown Ale,13
American IPA,13
American IPA,13
American IPA,13
American IPA,13
American Pale Ale (APA),13
American Pale Ale (APA),13
American Brown Ale,14
American Brown Ale,14
American IPA,14
American IPA,14
American IPA,15
American IPA,15
American IPA,15
American IPA,15
Scotch Ale / Wee Heavy,15
Scotch Ale / Wee Heavy,15
American Blonde Ale,16
American Blonde Ale,16
American IPA,16
American IPA,16
Doppelbock,16
Doppelbock,16
American Double / Imperial IPA,17
American Double / Imperial IPA,17
American IPA,17
American IPA,17
American Porter,17
American Porter,17
American Porter,17
American Porter,17
Czech Pilsener,17
Czech Pilsener,17
Fruit / Vegetable Beer,17
Fruit / Vegetable Beer,17
Irish Red Ale,17
Irish Red Ale,17
Roggenbier,17
Roggenbier,17
Russian Imperial Stout,17
Russian Imperial Stout,17
Rye Beer,18
Rye Beer,18
American Pale Ale (APA),19
American Pale Ale (APA),19
American IPA,20
American IPA,20
American Pale Ale (APA),21
American Pale Ale (APA),21
American Pale Wheat Ale,21
American Pale Wheat Ale,21
California Common / Steam Beer,21
California Common / Steam Beer,21
Oatmeal Stout,21
Oatmeal Stout,21
American IPA,22
American IPA,22
American IPA,22
American IPA,22
Belgian Pale Ale,22
Belgian Pale Ale,22
Oatmeal Stout,22
Oatmeal Stout,22
American Pale Ale (APA),23
American Pale Ale (APA),23
American Black Ale,24
American Black Ale,24
American Brown Ale,24
American Brown Ale,24
American Double / Imperial IPA,24
American Double / Imperial IPA,24
American IPA,24
American IPA,24
American IPA,24
American IPA,24
American Pale Ale (APA),24
American Pale Ale (APA),24
American Pale Ale (APA),24
American Pale Ale (APA),24
American Pale Wheat Ale,24
American Pale Wheat Ale,24
American Pale Wheat Ale,24
American Pale Wheat Ale,24
Cream Ale,24
