Team,Wins,Losses,Pts.Scored,Pts.Against,Pt.Differential
Atlanta Hawks,29,53,9294,9788,-494
Boston Celtics,49,33,9216,8852,364
Brooklyn Nets,42,40,9204,9210,-6
Charlotte Hornets,39,43,9081,9171,-90
Chicago Bulls,22,60,8605,9295,-690
Cleveland Cavaliers,19,63,8567,9355,-788
Dallas Mavericks,33,49,8927,9032,-105
Denver Nuggets,54,28,9075,8751,324
Detroit Pistons,41,41,8778,8798,-20
Golden State Warriors,57,25,9650,9120,530
Houston Rockets,53,29,9341,8950,391
Indiana Pacers,48,34,8857,8584,273
LA Clippers,48,34,9442,9372,70
Los Angeles Lakers,37,45,9165,9306,-141
Memphis Grizzlies,33,49,8490,8703,-213
Miami Heat,39,43,8668,8687,-19
Milwaukee Bucks,60,22,9686,8959,727
Minnesota Timberwolves,36,46,9223,9346,-123
New Orleans Pelicans,33,49,9466,9575,-109
New York Knicks,17,65,8575,9330,-755
Oklahoma City Thunder,49,33,9387,9108,279
Orlando Magic,42,40,8800,8742,58
Philadelphia 76ers,51,31,9445,9224,221
Phoenix Suns,19,63,8815,9581,-766
Portland Trail Blazers,53,29,9402,9058,344
Sacramento Kings,39,43,9363,9455,-92
San Antonio Spurs,48,34,9156,9018,138
Toronto Raptors,58,24,9384,8885,499
Utah Jazz,50,32,9161,8730,431
Washington Wizards,32,50,9350,9588,-238
