NOC,region,notes,Year,Country
AFG,Afghanistan,NA,1894,France
AHO,Curacao,Netherlands Antilles,1894,United States
AFG,Afghanistan,NA,1895,Australia
AHO,Curacao,Netherlands Antilles,1895,Germany
ALB,Albania,NA,1895,Greece
ALG,Algeria,NA,1895,Hungary
AFG,Afghanistan,NA,1900,Norway
AFG,Afghanistan,NA,1905,Denmark
AHO,Curacao,Netherlands Antilles,1905,Great Britain
AFG,Afghanistan,NA,1906,Belgium
AFG,Afghanistan,NA,1907,Canada
AHO,Curacao,Netherlands Antilles,1907,Finland
AFG,Afghanistan,NA,1909,Portugal
AFG,Afghanistan,NA,1910,Egypt
AFG,Afghanistan,NA,1911,Turkey
AFG,Afghanistan,NA,1912,Austria
AHO,Curacao,Netherlands Antilles,1912,Japan
ALB,Albania,NA,1912,Luxembourg
ALG,Algeria,NA,1912,Netherlands
AND,Andorra,NA,1912,Serbia
ANG,Angola,NA,1912,Spain
ANT,Antigua,Antigua and Barbuda,1912,Switzerland
AFG,Afghanistan,NA,1913,Sweden
AFG,Afghanistan,NA,1914,Romania
AFG,Afghanistan,NA,1915,Italy
AFG,Afghanistan,NA,1919,New Zealand
ALB,Albania,NA,1919,Poland
AFG,Afghanistan,NA,1922,Ireland
AFG,Afghanistan,NA,1923,Argentina
AHO,Curacao,Netherlands Antilles,1923,Latvia[a]
ALB,Albania,NA,1923,Mexico
ALG,Algeria,NA,1923,Uruguay
AFG,Afghanistan,NA,1924,Bulgaria
AHO,Curacao,Netherlands Antilles,1924,Estonia[a]
ALB,Albania,NA,1924,Haiti
ALG,Algeria,NA,1924,Lithuania[a]
AFG,Afghanistan,NA,1927,India
AFG,Afghanistan,NA,1929,Philippines
AFG,Afghanistan,NA,1934,Chile
AFG,Afghanistan,NA,1935,Brazil
AHO,Curacao,Netherlands Antilles,1935,Iceland
ALB,Albania,NA,1935,Liechtenstein
ALG,Algeria,NA,1935,Venezuela
AFG,Afghanistan,NA,1936,Afghanistan
AHO,Curacao,Netherlands Antilles,1936,Bermuda
ALB,Albania,NA,1936,Bolivia
ALG,Algeria,NA,1936,Costa
AND,Andorra,NA,1936,Rica
ANG,Angola,NA,1936,Jamaica
ANT,Antigua,Antigua and Barbuda,1936,Malta
ANZ,Australia,Australasia,1936,Peru
AFG,Afghanistan,NA,1937,Sri
AHO,Curacao,Netherlands Antilles,1937,Lanka
AFG,Afghanistan,NA,1947,Guatemala
AHO,Curacao,Netherlands Antilles,1947,Iran
ALB,Albania,NA,1947,Myanmar
ALG,Algeria,NA,1947,Panama
AND,Andorra,NA,1947,South
ANG,Angola,NA,1947,Korea
AFG,Afghanistan,NA,1948,Colombia
AHO,Curacao,Netherlands Antilles,1948,Guyana
ALB,Albania,NA,1948,Iraq
ALG,Algeria,NA,1948,Lebanon
AND,Andorra,NA,1948,Pakistan
ANG,Angola,NA,1948,Puerto Rico
ANZ,Australia,Australasia,1948,Singapore
ARG,Argentina,NA,1948,Syria
ARM,Armenia,NA,1948,Trinidad and Tobago
AFG,Afghanistan,NA,1950,Thailand
AFG,Afghanistan,NA,1951,Hong Kong
ALB,Albania,NA,1951,Nigeria
AFG,Afghanistan,NA,1952,Bahamas
AHO,Curacao,Netherlands Antilles,1952,Ghana
ALB,Albania,NA,1952,Indonesia
ALG,Algeria,NA,1952,Israel
AFG,Afghanistan,NA,1953,Monaco
AFG,Afghanistan,NA,1954,Cuba
AHO,Curacao,Netherlands Antilles,1954,Dominican Republic
ALG,Algeria,NA,1954,Ethiopia
AND,Andorra,NA,1954,Malaysia
AFG,Afghanistan,NA,1955,Barbados
AHO,Curacao,Netherlands Antilles,1955,Fiji
ALB,Albania,NA,1955,Kenya
ALG,Algeria,NA,1955,Liberia
AFG,Afghanistan,NA,1956,Honduras
AHO,Curacao,Netherlands Antilles,1956,Uganda
AFG,Afghanistan,NA,1957,North
AHO,Curacao,Netherlands Antilles,1957,Korea
ALB,Albania,NA,1957,Tunisia
AFG,Afghanistan,NA,1959,Albania
AHO,Curacao,Netherlands Antilles,1959,Ecuador
ALB,Albania,NA,1959,Morocco
ALG,Algeria,NA,1959,Nicaragua
