Rank,Grade,Channel,Uploads,Subscribers,Views
1,A++,Zee TV,82757,18752951,20869786591
2,A++,T-Series,12661,61196302,47548839843
3,A++,Cocomelon - Nursery Rhymes,373,19238251,9793305082
4,A++,SET India,27323,31180559,22675948293
5,A++,WWE,36756,32852346,26273668433
6,A++,Movieclips,30243,17149705,16618094724
7,A++,netd müzik,8500,11373567,23898730764
8,A++,ABS-CBN Entertainment,100147,12149206,17202609850
9,A++,Ryan ToysReview,1140,16082927,24518098041
10,A++,Zee Marathi,74607,2841811,2591830307
11,A+,5-Minute Crafts,2085,33492951,8587520379
12,A+,Canal KondZilla,822,39409726,19291034467
13,A+,Like Nastya Vlog,150,7662886,2540099931
14,A+,Ozuna,50,18824912,8727783225
15,A+,Wave Music,16119,15899764,10989179147
16,A+,Ch3Thailand,49239,11569723,9388600275
17,A+,WORLDSTARHIPHOP,4778,15830098,11102158475
18,A+,Vlad and Nikita,53,NA,1428274554
19,A+,Badabun,3060,23603062,5860444053
20,A+,WorkpointOfficial,24287,17687229,14022189654
21,A+,xxxtentacion,48,11593509,2029279311
22,A+,Zee Music Company,3403,23440427,11666909155
23,A+,SAB TV,19358,11347420,9572788450
24,A+,DeadloxMC,1833,2137907,245437560
25,A+,ETV Andhra Pradesh,186194,712562,349096736
26,A+,Shemaroo Filmi Gaane,5076,14469618,6585569190
27,A+,ibighit,277,16924523,3437613314
28,A+,El Reino Infantil,555,15836366,16395683234
29,A+,Zee Telugu,92250,2902714,2754482753
30,A+,Kirin AMV's,230,459906,224608044
31,A+,Zee Bangla,79497,3102246,2867901827
32,A+,Stacy Toys,91,5992452,1576070985
33,A+,Toys and Colors,127,4746069,2250065105
34,A+,InfantiLandia,710,7504480,2135402141
35,A+,Top Breaking News,848,1120620,291002673
36,A+,Colors TV,23504,12466776,8354699608
37,A+,Goldmines Telefilms,206,14011180,555853544
38,A+,one31,47805,10878372,7614312491
39,A+,[토이푸딩] ToyPudding TV,2201,18777612,11920370065
40,A+,CKN Toys,431,8816598,7498069721
41,A+,GMA Network,65757,6270681,7373478009
42,A+,Zé Neto e Cristiano,102,6154173,3232954352
43,A+,Inside Edition,14643,4391875,5542203386
44,A+,GRAMMY GOLD OFFICIAL,2943,7385239,6480263464
45,A+,RedeTV,15672,5604245,3317197927
46,A+,Bouncing Baby TV,30,2869857,493923518
47,A+,Speed Records,5704,14903053,7823927253
48,A+,GR6 EXPLODE,2517,16813027,7609346952
49,A+,Sony Music India,2204,15862389,6738087055
50,A+,Infobells - Hindi,169,7546139,3919961629
51,A+,T-Series Apna Punjab,3437,10055513,5384101851
52,A,T-Series Bhakti Sagar,19447,10796918,4220899885
53,A,Tips Official,2321,10384600,4589770470
54,A,Ultra Bollywood,10714,10490425,6239740374
55,A,La Granja de Zenón,149,8781935,4473966039
56,A,✿ Kids Diana Show,488,8983362,2492724832
57,A,Boram Tube ToysReview [보람튜브…,136,3052780,849887197
58,A,CVS 3D Rhymes,317,14925769,9454820754
59,A,Maroon5VEVO,111,15720338,10355362290
60,A,الرماس ميوزك,1905,8368289,5172463467
61,A,Pencilmation,348,5283050,2499031601
62,A,1theK (원더케이),12942,12918410,10657097331
63,A,Pinkfong! Kids' Songs & Stories,1010,10538694,5761524025
64,A,Ed Sheeran,122,33961184,14521211040
65,A,SonyMusicIndiaVEVO,2958,13215636,6215499269
66,A,Blossom,137,5375332,1251331678
67,A,POPS Kids,3751,5621106,4908451376
68,A,Shemaroo,6466,10846501,4795061785
69,A,Gaane Sune Ansune,1778,9177850,4124067978
70,A,Bolly HD 1080p,250,3832164,1427683110
71,A,Vijay Television,19471,6456081,3686308830
72,A,DokuzSekiz Müzik,2253,1971613,2559979914
73,A,FGTeeV,1169,7910214,8437768629
74,A,Erlania e Valentina,543,8900406,2058205665
75,A,Маша и Медведь,568,16638993,16519985673
76,A,Doggy Doggy Play Doh Cartoons,909,9994112,3155585139
77,A,Asianet,31201,3310120,2450108456
78,A,Eros Now,9852,13820875,8651382337
79,A,ChuChu TV Nursery Rhymes & Kids…,254,19641153,15212759916
80,A,Oyuncak Avı,393,3286612,1045924447
81,A,Cauê Moura,487,5184068,518924050
82,A,Get Movies,2747,20186240,17362242300
83,A,SMTOWN,3274,15711312,11614803892
84,A,Felipe Neto,1276,25069826,4455604361
85,A,Galinha Pintadinha,47,13312085,9570884138
86,A,YRF,3564,13419831,7280286813
87,A,Dehati India NonVeg Masti,612,4546683,1950903340
88,A,キッズライン♡Kids Line,2712,6421915,5406199624
89,A,LooLoo Kids - Nursery Rhymes and…,481,10813220,4362878210
90,A,Zaz Official,50,649081,242240716
91,A,LazarBeam,959,4791790,1080083584
92,A,Aditya Music,14744,5940275,3871453495
93,A,hairong zheng,492,394,254252482
94,A,BRIGHT SIDE,1547,16616187,3132608077
95,A,Tekashi 6ix9ine,3,3108447,353018727
96,A,Luccas Neto,487,18703101,3564747380
97,A,NollywoodStreams,1528,2794475,1171653272
98,A,MGR PRODUCTION,2069,733903,401477421
99,A,BeckyGVEVO,53,6658776,3518844458
100,A,GMM GRAMMY OFFICIAL,5980,13426454,13503732638
101,A,LetsGoMartin - Nursery Rhymes,215,3665615,934322434
102,A,HTV2 Channel,5868,3798574,2073246834
103,A,Drake - Topic,979,1259842,888928894
104,A,And TV,25709,2963630,2474453105
105,A,Soft Box Türkiye,1487,1810809,1068359427
106,A,mmoshaya,716,6832523,3881188263
107,A,Rajshri,5608,8808619,4772954260
108,A,Venus,4138,7878536,2898110156
109,A,BIGFUN,373,NA,941376171
110,A,Bollywood Classics,1698,5532599,2608650285
111,A,Давай поиграем в…,220,3409426,1101115153
112,A,Webs & Tiaras - Toy Monster…,62,7203358,6727576995
113,A,ImagineDragonsVEVO,94,10753521,5191219894
114,A,Wave Music - Bhojpuri,14307,6133550,3379150048
115,A,CookieSwirlC,2874,9213304,9298343650
116,A,Bee Kids Games - Children TV,740,NA,414535723
117,A,قناة طيور الجنة |…,2218,9174889,8504219475
118,A,Vidol TV,357,595068,338703141
119,A,SIS vs BRO,253,6579270,2260525646
120,A,BLACKPINK,179,11604439,2947790223
121,A,BillionSurpriseToys - Nursery…,223,16271451,5183283439
122,A,shakiraVEVO,142,19689891,14533614800
123,A,Super Simple Songs - Kids Songs,445,11419859,10528195079
124,A,Fischer's-フィッシャーズ-,1626,5015503,5418686430
125,A,Animal Family,25,5032200,735698294
126,A,Alan Walker,141,17225892,4666424253
127,A,TheEllenShow,9066,27765423,13403860667
128,A,Family Fun Pack,1253,7552928,10014750723
129,A,SebastianYatraVEVO,21,2851437,2034588299
130,A,For Kids Learn,66,647110,129490054
131,A,Fozi Mozi,645,3564584,3232333195
132,A,Osman Vargas,884,3463566,3661895184
133,A,AnuelVEVO,29,1100382,651668495
134,A,Goldmines,143,4679372,341081506
135,A,Oops Zeros,514,548850,104953122
136,A,Miss Katy,605,9684269,5704760485
137,A,Las Ratitas,83,5768549,1308569692
138,A,Marília Mendonça,69,9254263,5295016523
139,A,LEGO,19293,6207095,8118958980
140,A,Scopian01,801,1319834,1219988066
141,A,Sonotek Haryanvi,6370,5873167,2130708836
142,A,DuDuPopTOY,683,4181344,2171187145
143,A,ChiChi TV Siêu Nhân,421,NA,2600394871
144,A,MusicTalentNow,1487,NA,3252752212
145,A,YoungBoy Never Broke Again,186,3318535,1665788162
146,A,Rotana,5635,8539250,5738075498
147,A,Volga Video,28663,6498020,3366976772
148,A,Trap Nation,1458,22331643,7760362155
149,A,FunFun ToyShow,447,4533982,1881201276
150,A,EminemVEVO,80,26650488,11317532576
151,A,Sonotek,8324,6591994,2590857091
152,A,KanalD,11237,3495070,5091658907
153,A,Family GamesTV,282,NA,1287242549
154,A,ZeeQ India,336,2435635,1105398427
155,A,Nick Jr.,1817,3698840,3081781019
156,A,eltrece,79561,4386345,4279834573
157,A,KH Show,31,NA,106302038
158,A,Worldwide Records Bhojpuri,1872,5264436,2669933333
159,A,Marshmello,187,19005512,3242956390
160,A,Geet MP3,144,5743286,1341490754
161,A,KiKiDo,263,2390570,1130123412
162,A,CanalKids HD,1500,4298926,1719001155
163,A,Toys And Little Gaby,192,4016859,859912280
164,A,Lady Diana,183,2417650,675927454
165,A,Mazhavil Manorama,28157,3021268,2625773225
166,A,etvteluguindia,61222,4560715,4163302219
167,A,Rainbow ToyTocToc,204,2503093,609961488
168,A,Ultra Music,3586,14813447,9083272850
169,A,Boo Kids,19,574063,114287401
170,A,Boram Tube Vlog [보람튜브…,53,595409,145148497
171,A,ThaiCh8 : ช่อง 8,41034,4830567,3581877042
172,A,Baby Big Mouth,3177,9038516,10463073138
173,A,Daddy Yankee,319,16490453,5770555736
174,A,Televisa Telenovelas,14374,5195767,2964680826
175,A,Dude Perfect,185,34489432,6095981611
176,A,LES BOYS TV2,116,NA,387595623
177,A,LuisFonsiVEVO,54,18753006,9179054584
178,A,BabyBus - Kids TV - Songs & Stories,1582,2217196,1547446077
179,A,YRF Music,1047,5555085,2810150130
180,A,1000virtudes,59,770249,170131284
181,A,BIBO TOYS,313,NA,1574657579
182,A,Team Films Bhojpuri,14690,4481993,2147683870
183,A,ChainsmokersVEVO,123,12482234,7310645610
184,A,Strawberry Jam Toys,1101,1967981,629774385
185,A,Mnet Official,10515,4341384,3078108849
186,A,ETV Jabardasth,3256,4025243,2988842536
187,A,Ryan's Family Review,313,2578422,3058055395
188,A,ArianaGrandeVevo,81,19188513,9364195758
189,A,Cardi B,32,6199546,1706942190
190,A,Kids Tv Show,8,NA,86516866
191,A,OLIE THE CUB,546,5045423,1451072025
192,A,BERITA TERBARU HD,4873,140363,86550277
193,A,Happy Funny Kids Toys Pretend Play,850,NA,1778372917
194,A,jbalvinVEVO,128,14086158,10274251157
195,A,Senya ToysReview,84,1610241,519942081
196,A,Sen Anlat Karadeniz,681,2512665,1221563028
197,A,Mr. Gengar,2032,1057326,767545532
198,A,Learn Colors Keiki,6,NA,89116512
199,A,WatchMojo.com,15345,18586234,11155709987
200,A,Troom Troom,644,8817758,2641942608
201,A,JesseAndMike,393,6132965,4615275531
202,A,TotoyKids,709,10731825,5320123608
203,A,Learn and Play,146,2913780,699759061
204,A,Aaj Tak,79184,9592793,2797505747
205,A,Ninja,720,17828322,1284842810
206,A,CartoonKiDS BR,919,3742294,1269907194
207,A,Emily Tube,484,7500762,2489237217
208,A,عائلة فيحان,603,3363912,2084734767
209,A,Cartoon Network,6453,3571762,3374207995
210,A,Ly LY ToysReview,33,NA,90941513
211,A,KatyPerryVEVO,125,26712128,16244535352
212,A,BCC Trolling,3412,7468094,1724254525
213,A,DanTDM,2917,20198608,13558498013
214,A,Beat chất lượng cao,563,NA,622132999
215,A,David Dobrik,481,8886600,2964214601
216,A,東海オンエア,1083,3600345,2612633025
217,A,AmusementForce,6479,3041069,2218545018
218,A,Funny Sofia Show,71,3611388,735430833
219,A,KBS World TV,32124,7390999,5223168496
220,A,Mikecrack,1135,6085829,1873472207
221,A,Peppa Pig - Official Channel,272,5791309,2006762385
222,A,Genevieve's Playhouse - Toy…,420,5903099,2926005920
223,A,ItsFunneh,903,3031264,1894890613
224,A,Purana Hindustan,91,NA,501921413
225,A,DisneyChannelLA,3526,9774825,7561193043
226,A,Lucas and Marcus,341,11664682,2546704375
227,A,Haryanvi Maina,3285,6257643,2787342302
228,A,BuzzFeedVideo,5476,17357278,13969280371
229,A,toycantando,278,8368583,4163736216
230,A,David Guetta,446,18394349,9928572340
231,A,Happy Lives,188,NA,515722472
232,A,Synergy تامر مرسي,2850,1241829,856728863
233,A,Cole Bennett - Lyrical Lemonade,310,5251860,1555442427
234,A,GMA Public Affairs,14974,2504473,1667235507
235,A,Salih Reis'in Dünyası,237,NA,2197191069
236,A,News ThatMatter,365,NA,77361248
237,A,IndiaTV,120243,6576438,2865575385
238,A,Beam Copphone,1140,1054924,1294100847
239,A,PlayGammer100,7,NA,261227
240,A,Venus Movies,2830,5721768,2328521668
241,A,Kids smile TV,70,2119502,746637831
242,A,Saturday Night Live,6422,6436457,4744558944
243,A,PopularMMOs,4214,15359835,11881872033
244,A,Maria Clara & JP,392,3967499,1036658065
245,A,Lizos Music,256,3289111,3555452040
246,A,SiaVEVO,93,10579862,6599433518
247,A,MTZ Manuel Turizo,9,3531337,1748814742
248,A,GENIAL,1252,9473119,1293790665
249,A,НТВ,33626,3083128,3084104476
250,A,NaoFun Toys,1893,9515204,4889864688
251,A,Россия 24,111520,2165801,2298969489
252,A,LosAngelesAzulesVEVO,63,1673608,2633311383
253,A,Green Gold,583,4035116,2000802080
254,A,Flipkart,604,NA,718345351
255,A,はじめしゃちょー（hajime）…,1713,6880324,5414528635
256,A,Los Juguetes BB,114,NA,82824448
257,A,NickyJamTV,215,16120428,10323118073
258,A,Hear This Music,26,8453220,4298092532
259,A,Flow La Movie,19,3906670,1310514561
260,A,SyrebralVibes,255,1726047,1035058136
261,A,RsiamMusic :…,1716,11037799,7248944248
262,A,Mister Max,692,8674860,5793558805
263,A,Mister Bean Number One Fan in HD -…,1764,4104585,1527175809
264,A,Aditya Movies - Telugu & Hindi,3692,2258716,919189826
265,A,CNN,142427,4686757,3574418617
266,A,RomeoSantosVEVO,139,9198180,6898631721
267,A,ครู นกเล็ก,1795,4525326,4129499307
268,A~,MidnightXChannel,NA,NA,190256974
269,A,VanossGaming,859,23590547,9880562011
270,A,Spinnin' Records,8758,22981517,13426887749
271,A,Guava Juice,1165,11524140,4631090552
272,A,Little Baby Bum - Nursery Rhymes &…,680,16355206,17470709876
273,A,Armoo,177,407066,87279803
274,A,Toys Unlimited,1498,5936545,4000941387
275,A,5-Minute Crafts KIDS,908,6646318,1262160532
276,A,IndiaiStore,6,192230,70748180
277,A,ToysPlay,98,956357,413449527
278,A,Fueled By Ramen,1147,11041504,9921804596
279,A,Star Casablanca | نجوم…,533,3850735,1477710857
280,A,Lachlan,2999,7470765,1774695359
281,A,El Reino a Jugar,248,4554690,2087077770
282,A,DopeLyrics,526,2726479,1532978759
283,A,CalvinHarrisVEVO,103,12841749,9509573498
284,A,Wow Kidz,3332,5241934,3537059454
285,A,SriBalajiMovies,18006,4504323,3345586246
286,A,Blippi Español,44,2196327,862348058
287,A,Just Kidding Pranks,708,2258303,1471393006
288,A,"せんももあいしーCh Sen,…",2512,3727952,3769698238
289,A,Mnet K-POP,12959,8046493,4436534481
290,A,Bounce Patrol Kids,145,4000495,2577351909
291,A,Blippi Toys,107,2358324,1810656447
292,A,Sham Drama شام دراما,6494,NA,885923365
293,A,The ACE Family,353,11312621,1726592121
294,A,Kırgın Çiçekler,2805,1050905,1630495982
295,A,ThaliaVEVO,131,2346267,2374791524
296,A,Raffy Tulfo in Action,1649,1446017,615545631
297,A,Phim HOT TK-L,2529,1221977,699287518
298,A,KSI,1164,19631845,4491304033
299,A,Logan Paul Vlogs,562,18487595,3981804622
300,A,Come Play With Me,189,4013370,3897267590
301,A,SonyMusicSouthVEVO,3513,4577095,3540450188
302,A,michaeljacksonVEVO,92,8529288,5616336614
303,A,MBCentertainment,58514,4030820,5187454046
304,A,MrBeast,676,7990777,896576201
305,A,TaylorSwiftVEVO,86,28133287,15476966737
306,A,JuegaGerman,1467,28889480,7825801479
307,A,DrakeVEVO,38,9987454,4908039128
308,A,حِرف إبداعية في 5…,845,2599157,567724680
309,A,Jake Paul,694,16902261,4939708131
310,A,jypentertainment,797,9509594,4761221692
311,A,Just For Laughs Gags,4146,7985983,4340439049
312,A,Anand Audio,3426,2306908,1228011095
313,A,La Rosa Hd,1459,2287705,1099701030
314,A,MalumaVEVO,90,15164001,10120591416
315,A,icanrockyourworld,8,3891968,2420286079
316,A,La Rosa de Guadalupe,1454,3424646,1415089435
317,A,Tom Slime,289,2651748,750583917
318,A,T-Play,116,1638966,518466711
319,A,Caso Cerrado,2646,3932772,2203762925
320,A,Coldplay,202,12635238,7881678521
321,A,realnollywoodclips,2898,3840010,1222587049
322,A,Rahatlatıcı Videolar,218,817938,214359214
323,A,Ghiền Phim Hàn,854,NA,1072407139
324,A,GMA News,269065,2599175,2786949164
325,A,Hamtaro Gasa,395,976130,651702290
326,A,Candy Play TV Russian,198,709587,166534634
327,A,Bollywood Event Talkies,10,NA,350
328,A,SSSniperWolf,1930,11657566,2537293803
329,A,Stephen Sharer,390,4149328,1410581249
330,A,Toys Kids TV,52,2822933,514414041
331,A,Brancoala,692,3938021,1942176648
332,A,Rainbow Learning,922,4512958,1946973161
333,A,Markiplier,4196,21770508,10053970560
334,A,Smile 4ever,115,636609,102185590
335,A,ninja,6,547,2127264
336,A,Cut,819,5961268,1709469538
337,A,MikelTube,557,1992474,1230314566
338,A,Çizgi Film Oyuncakları,31,2648105,510380802
339,A,Soulstice Music Group,11,92158,63748543
340,A,الحب لا يفهم الكلام,148,912967,448991721
341,A,Codiscos,5179,3865413,2906524921
342,A,VEGETTA777,4710,23775389,9365416666
343,A,Kammy TV,19,480785,95827909
344,A,Amazing Kids Toys Review,431,5005927,1273050905
345,A,NoCopyrightSounds,524,18178014,4912160820
346,A,Collins Key,216,13779702,2201959243
347,A,Jhankar Station 07,205,NA,78360362
348,A,tlc uk,1355,1625205,977945315
349,A,Enes Batur,1659,8427099,3675163152
350,A,Goldmines Hindi,292,1719279,544187059
351,A,Penguins TV,209,1121491,147266521
352,A,Think Music India,2356,3181532,1947872233
353,A,Rawan and Rayan,304,2510058,543214595
354,A,EnriqueIglesiasVEVO,129,13859359,11245381351
