"","pclass","survived","sex","age","embarked"
"1","1st",1,"female",29,"S"
"2","1st",1,"male",0.92,"S"
"3","1st",0,"female",2,"S"
"4","1st",0,"male",30,"S"
"5","1st",0,"female",25,"S"
"6","1st",1,"male",48,"S"
"7","1st",1,"female",63,"S"
"8","1st",0,"male",39,"S"
"9","1st",1,"female",53,"S"
"10","1st",0,"male",71,"C"
"11","1st",0,"male",47,"C"
"12","1st",1,"female",18,"C"
"13","1st",1,"female",24,"C"
"14","1st",1,"female",26,"S"
"15","1st",1,"male",80,"S"
"16","1st",0,"male",NA,"S"
"17","1st",0,"male",24,"C"
"18","1st",1,"female",50,"C"
"19","1st",1,"female",32,"C"
"20","1st",0,"male",36,"C"
"21","1st",1,"male",37,"S"
"22","1st",1,"female",47,"S"
"23","1st",1,"male",26,"C"
"24","1st",1,"female",42,"C"
"25","1st",1,"female",29,"S"
"26","1st",0,"male",25,"C"
"27","1st",1,"male",25,"C"
"28","1st",1,"female",19,"C"
"29","1st",1,"female",35,"S"
"30","1st",1,"male",28,"S"
"31","1st",0,"male",45,"S"
"32","1st",1,"male",40,"C"
"33","1st",1,"female",30,"S"
"34","1st",1,"female",58,"S"
"35","1st",0,"male",42,"S"
"36","1st",1,"female",45,"C"
"37","1st",1,"female",22,"S"
"38","1st",1,"male",NA,"S"
"39","1st",0,"male",41,"S"
"40","1st",0,"male",48,"C"
"41","1st",0,"male",NA,"C"
"42","1st",1,"female",44,"C"
"43","1st",1,"female",59,"S"
"44","1st",1,"female",60,"C"
"45","1st",1,"female",41,"C"
"46","1st",0,"male",45,"S"
"47","1st",0,"male",NA,"S"
"48","1st",1,"male",42,"S"
"49","1st",1,"female",53,"C"
"50","1st",1,"male",36,"C"
"51","1st",1,"female",58,"C"
"52","1st",0,"male",33,"S"
"53","1st",0,"male",28,"S"
"54","1st",0,"male",17,"S"
"55","1st",1,"male",11,"S"
"56","1st",1,"female",14,"S"
"57","1st",1,"male",36,"S"
"58","1st",1,"female",36,"S"
"59","1st",0,"male",49,"S"
"60","1st",1,"female",NA,"C"
"61","1st",0,"male",36,"S"
"62","1st",1,"female",76,"S"
"63","1st",0,"male",46,"S"
"64","1st",1,"female",47,"S"
"65","1st",1,"male",27,"S"
"66","1st",1,"female",33,"S"
"67","1st",1,"female",36,"C"
"68","1st",1,"female",30,"S"
"69","1st",1,"male",45,"C"
"70","1st",1,"female",NA,"S"
"71","1st",0,"male",NA,"S"
"72","1st",0,"male",27,"C"
"73","1st",1,"female",26,"C"
"74","1st",1,"female",22,"S"
"75","1st",0,"male",NA,"S"
"76","1st",0,"male",47,"S"
"77","1st",1,"female",39,"C"
"78","1st",0,"male",37,"C"
"79","1st",1,"female",64,"C"
"80","1st",1,"female",55,"S"
"81","1st",0,"male",NA,"S"
"82","1st",0,"male",70,"S"
"83","1st",1,"female",36,"S"
"84","1st",1,"female",64,"S"
"85","1st",0,"male",39,"C"
"86","1st",1,"female",38,"C"
"87","1st",1,"male",51,"S"
"88","1st",1,"male",27,"S"
"89","1st",1,"female",33,"S"
"90","1st",0,"male",31,"S"
"91","1st",1,"female",27,"S"
"92","1st",1,"male",31,"S"
"93","1st",1,"female",17,"S"
"94","1st",1,"male",53,"S"
"95","1st",1,"male",4,"S"
"96","1st",1,"female",54,"S"
"97","1st",0,"male",50,"C"
"98","1st",1,"female",27,"C"
"99","1st",1,"female",48,"C"
"100","1st",1,"female",48,"C"
"101","1st",1,"male",49,"C"
"102","1st",0,"male",39,"C"
"103","1st",1,"female",23,"C"
"104","1st",1,"female",38,"C"
"105","1st",1,"female",54,"C"
"106","1st",0,"female",36,"C"
"107","1st",0,"male",NA,"S"
"108","1st",1,"female",NA,"S"
"109","1st",1,"female",NA,"C"
"110","1st",1,"male",36,"S"
"111","1st",0,"male",30,"C"
"112","1st",1,"female",24,"S"
"113","1st",1,"female",28,"S"
"114","1st",1,"female",23,"S"
"115","1st",0,"male",19,"S"
"116","1st",0,"male",64,"S"
"117","1st",1,"female",60,"S"
"118","1st",1,"female",30,"C"
"119","1st",0,"male",NA,"S"
"120","1st",1,"male",50,"S"
"121","1st",1,"male",43,"C"
"122","1st",1,"female",NA,"S"
"123","1st",1,"female",22,"C"
"124","1st",1,"male",60,"C"
"125","1st",1,"female",48,"C"
"126","1st",0,"male",NA,"S"
"127","1st",0,"male",37,"S"
"128","1st",1,"female",35,"S"
"129","1st",0,"male",47,"S"
"130","1st",1,"female",35,"C"
"131","1st",1,"female",22,"C"
"132","1st",1,"female",45,"C"
"133","1st",0,"male",24,"C"
"134","1st",1,"male",49,"C"
"135","1st",1,"female",NA,"C"
"136","1st",0,"male",71,"C"
"137","1st",1,"male",53,"C"
"138","1st",1,"female",19,"S"
"139","1st",0,"male",38,"S"
"140","1st",1,"female",58,"S"
"141","1st",1,"male",23,"C"
"142","1st",1,"female",45,"C"
"143","1st",0,"male",46,"C"
"144","1st",1,"male",25,"C"
"145","1st",1,"female",25,"C"
"146","1st",1,"male",48,"C"
"147","1st",1,"female",49,"C"
"148","1st",0,"male",NA,"S"
"149","1st",0,"male",45,"S"
"150","1st",1,"female",35,"S"
"151","1st",0,"male",40,"S"
"152","1st",1,"male",27,"C"
"153","1st",1,"male",NA,"S"
"154","1st",1,"female",24,"C"
"155","1st",0,"male",55,"S"
"156","1st",1,"female",52,"S"
"157","1st",0,"male",42,"S"
"158","1st",0,"male",NA,"S"
"159","1st",0,"male",55,"S"
"160","1st",1,"female",16,"C"
"161","1st",1,"female",44,"C"
"162","1st",1,"female",51,"S"
"163","1st",0,"male",42,"S"
"164","1st",1,"female",35,"S"
"165","1st",1,"male",35,"C"
"166","1st",1,"male",38,"S"
"167","1st",0,"male",NA,"C"
"168","1st",1,"female",35,"S"
"169","1st",1,"female",38,""
"170","1st",0,"female",50,"C"
"171","1st",1,"male",49,"S"
"172","1st",0,"male",46,"S"
"173","1st",0,"male",50,"S"
"174","1st",0,"male",32.5,"C"
"175","1st",0,"male",58,"C"
"176","1st",0,"male",41,"S"
"177","1st",1,"female",NA,"S"
"178","1st",1,"male",42,"S"
"179","1st",1,"female",45,"S"
"180","1st",0,"male",NA,"S"
"181","1st",1,"female",39,"S"
"182","1st",1,"female",49,"S"
"183","1st",1,"female",30,"C"
"184","1st",1,"male",35,"C"
"185","1st",0,"male",NA,"C"
"186","1st",0,"male",42,"S"
"187","1st",1,"female",55,"C"
"188","1st",1,"female",16,"S"
"189","1st",1,"female",51,"S"
"190","1st",0,"male",29,"S"
"191","1st",1,"female",21,"S"
"192","1st",0,"male",30,"S"
"193","1st",1,"female",58,"C"
"194","1st",1,"female",15,"S"
"195","1st",0,"male",30,"S"
"196","1st",1,"female",16,"S"
"197","1st",1,"male",NA,"C"
"198","1st",0,"male",19,"S"
"199","1st",1,"female",18,"S"
"200","1st",1,"female",24,"C"
"201","1st",0,"male",46,"C"
"202","1st",0,"male",54,"S"
"203","1st",1,"male",36,"S"
"204","1st",0,"male",28,"C"
"205","1st",1,"female",NA,"C"
"206","1st",0,"male",65,"S"
"207","1st",0,"male",44,"Q"
"208","1st",1,"female",33,"Q"
"209","1st",1,"female",37,"Q"
"210","1st",1,"male",30,"C"
"211","1st",0,"male",55,"S"
"212","1st",0,"male",47,"S"
"213","1st",0,"male",37,"C"
"214","1st",1,"female",31,"C"
"215","1st",1,"female",23,"C"
"216","1st",0,"male",58,"C"
"217","1st",1,"female",19,"S"
"218","1st",0,"male",64,"S"
"219","1st",1,"female",39,"C"
"220","1st",1,"male",NA,"C"
"221","1st",1,"female",22,"C"
"222","1st",0,"male",65,"C"
"223","1st",0,"male",28.5,"C"
"224","1st",0,"male",NA,"S"
"225","1st",0,"male",45.5,"S"
"226","1st",0,"male",23,"S"
"227","1st",0,"male",29,"S"
"228","1st",1,"female",22,"S"
"229","1st",0,"male",18,"C"
"230","1st",1,"female",17,"C"
"231","1st",1,"female",30,"S"
"232","1st",1,"male",52,"S"
"233","1st",0,"male",47,"S"
"234","1st",1,"female",56,"C"
"235","1st",0,"male",38,"S"
"236","1st",1,"male",NA,"S"
"237","1st",0,"male",22,"C"
"238","1st",0,"male",NA,"C"
"239","1st",1,"female",43,"S"
"240","1st",0,"male",31,"S"
"241","1st",1,"male",45,"S"
"242","1st",0,"male",NA,"S"
"243","1st",1,"female",33,"C"
"244","1st",0,"male",46,"C"
"245","1st",0,"male",36,"C"
"246","1st",1,"female",33,"S"
"247","1st",0,"male",55,"C"
"248","1st",1,"female",54,"C"
"249","1st",0,"male",33,"S"
"250","1st",1,"male",13,"C"
"251","1st",1,"female",18,"C"
"252","1st",1,"female",21,"C"
"253","1st",0,"male",61,"C"
"254","1st",1,"female",48,"C"
"255","1st",1,"male",NA,"S"
"256","1st",1,"female",24,"C"
"257","1st",1,"male",NA,"S"
"258","1st",1,"female",35,"C"
"259","1st",1,"female",30,"C"
"260","1st",1,"male",34,"S"
"261","1st",1,"female",40,"S"
"262","1st",1,"male",35,"S"
"263","1st",0,"male",50,"S"
"264","1st",1,"female",39,"S"
"265","1st",1,"male",56,"C"
"266","1st",1,"male",28,"S"
"267","1st",0,"male",56,"S"
"268","1st",0,"male",56,"C"
"269","1st",0,"male",24,"S"
"270","1st",0,"male",NA,"S"
"271","1st",1,"female",18,"S"
"272","1st",1,"male",24,"S"
