Date,Time,CO.GT.,PT08.S1.CO.,NMHC.GT.,C6H6.GT.,PT08.S2.NMHC.,NOx.GT.,PT08.S3.NOx.,NO2.GT.,PT08.S4.NO2.,PT08.S5.O3.,T,RH,AH
10/03/2004,18.00.00,26,1360,150,119,1046,166,1056,113,1692,1268,136,489,7578
10/03/2004,19.00.00,2,1292,112,94,955,103,1174,92,1559,972,133,477,7255
10/03/2004,20.00.00,22,1402,88,90,939,131,1140,114,1555,1074,119,540,7502
10/03/2004,21.00.00,22,1376,80,92,948,172,1092,122,1584,1203,110,600,7867
10/03/2004,22.00.00,16,1272,51,65,836,131,1205,116,1490,1110,112,596,7888
10/03/2004,23.00.00,12,1197,38,47,750,89,1337,96,1393,949,112,592,7848
11/03/2004,00.00.00,12,1185,31,36,690,62,1462,77,1333,733,113,568,7603
11/03/2004,01.00.00,1,1136,31,33,672,62,1453,76,1333,730,107,600,7702
11/03/2004,02.00.00,9,1094,24,23,609,45,1579,60,1276,620,107,597,7648
11/03/2004,03.00.00,6,1010,19,17,561,NA,1705,NA,1235,501,103,602,7517
11/03/2004,04.00.00,NA,1011,14,13,527,21,1818,34,1197,445,101,605,7465
11/03/2004,05.00.00,7,1066,8,11,512,16,1918,28,1182,422,110,562,7366
11/03/2004,06.00.00,7,1052,16,16,553,34,1738,48,1221,472,105,581,7353
11/03/2004,07.00.00,11,1144,29,32,667,98,1490,82,1339,730,102,596,7417
11/03/2004,08.00.00,2,1333,64,80,900,174,1136,112,1517,1102,108,574,7408
11/03/2004,09.00.00,22,1351,87,95,960,129,1079,101,1583,1028,105,606,7691
11/03/2004,10.00.00,17,1233,77,63,827,112,1218,98,1446,860,108,584,7552
11/03/2004,11.00.00,15,1179,43,50,762,95,1328,92,1362,671,105,579,7352
11/03/2004,12.00.00,16,1236,61,52,774,104,1301,95,1401,664,95,668,7951
11/03/2004,13.00.00,19,1286,63,73,869,146,1162,112,1537,799,83,764,8393
11/03/2004,14.00.00,29,1371,164,115,1034,207,983,128,1730,1037,80,811,8736
11/03/2004,15.00.00,22,1310,79,88,933,184,1082,126,1647,946,83,798,8778
11/03/2004,16.00.00,22,1292,95,83,912,193,1103,131,1591,957,97,712,8569
11/03/2004,17.00.00,29,1383,150,112,1020,243,1008,135,1719,1104,98,676,8185
11/03/2004,18.00.00,48,1581,307,208,1319,281,799,151,2083,1409,103,642,8065
11/03/2004,19.00.00,69,1776,461,274,1488,383,702,172,2333,1704,97,693,8319
11/03/2004,20.00.00,61,1640,401,240,1404,351,743,165,2191,1654,96,678,8133
11/03/2004,21.00.00,39,1313,197,128,1076,240,957,136,1707,1285,91,640,7419
11/03/2004,22.00.00,15,965,61,47,749,94,1325,85,1333,821,82,634,6905
11/03/2004,23.00.00,1,913,26,26,629,47,1565,53,1252,552,82,608,6657
12/03/2004,00.00.00,17,1080,55,59,805,122,1254,97,1375,816,83,585,6438
12/03/2004,01.00.00,19,1044,53,64,829,133,1247,110,1378,832,77,597,6308
12/03/2004,02.00.00,14,988,40,41,718,82,1396,91,1304,692,71,618,6276
12/03/2004,03.00.00,8,889,21,19,574,NA,1680,NA,1187,512,70,623,6261
12/03/2004,04.00.00,NA,831,10,11,506,21,1893,32,1134,384,61,659,6248
12/03/2004,05.00.00,6,847,7,10,501,30,1895,44,1155,394,63,650,6233
12/03/2004,06.00.00,8,927,17,18,571,56,1685,71,1223,487,68,629,6234
12/03/2004,07.00.00,14,1091,33,44,730,109,1387,104,1361,748,64,651,6316
12/03/2004,08.00.00,44,1587,202,179,1236,307,897,141,1900,1400,73,631,6499
12/03/2004,09.00.00,NA,1545,NA,221,1353,NA,767,NA,2058,1588,92,562,6561
12/03/2004,10.00.00,31,1350,208,140,1118,187,912,122,1712,1237,132,417,6320
12/03/2004,11.00.00,27,1263,166,116,1037,216,969,143,1598,1167,143,384,6243
