Content,Type,ID,Flavour,BrewID,12,16,24,32,Other
22,IBU,1887,Abbey Single Ale,57,Abbey's Single Ale (Current),,,,
22,IBU,2505,Abbey Single Ale,57,Abbey's Single (2015- ),,,,
0.049,AP,1887,Abbey Single Ale,57,Abbey's Single Ale (Current),,,,
0.049,AP,2505,Abbey Single Ale,57,Abbey's Single (2015- ),,,,
40,IBU,502,Altbier,395,Alteration,,,,
30,IBU,573,Altbier,268,Long Trail Ale (1),,,,
,IBU,582,Altbier,71,Balt Altbier,,,,
,IBU,936,Altbier,490,,Loafin Bräu,,,
33,IBU,1090,Altbier,268,,Double Bag,,,
,IBU,1129,Altbier,200,,Occidental Altbier,,,
40,IBU,1248,Altbier,122,Main St. Virginia Ale,,,,
,IBU,1597,Altbier,364,Altus Bohemes Altbier,,,,
18,IBU,1920,Altbier,270,Alaskan Amber,,,,
43,IBU,2339,Altbier,144,Little Red Cap,,,,
,IBU,2354,Altbier,121,,Lighthouse Amber,,,
40,IBU,2377,Altbier,122,Main St. Virginia Ale,,,,
29,IBU,2605,Altbier,25,,Tip Off,,,
0.051,AP,502,Altbier,395,Alteration,,,,
0.046,AP,573,Altbier,268,Long Trail Ale (1),,,,
0.06,AP,582,Altbier,71,Balt Altbier,,,,
0.055,AP,936,Altbier,490,,Loafin Bräu,,,
0.072,AP,1090,Altbier,268,,Double Bag,,,
0.05,AP,1129,Altbier,200,,Occidental Altbier,,,
0.05,AP,1248,Altbier,122,Main St. Virginia Ale,,,,
0.053,AP,1597,Altbier,364,Altus Bohemes Altbier,,,,
0.053,AP,1920,Altbier,270,Alaskan Amber,,,,
0.063,AP,2339,Altbier,144,Little Red Cap,,,,
0.052,AP,2354,Altbier,121,,Lighthouse Amber,,,
0.05,AP,2377,Altbier,122,Main St. Virginia Ale,,,,
0.052,AP,2605,Altbier,25,,Tip Off,,,
,IBU,97,American Adjunct Lager,229,Lazy Daze Lager,,,,
9,IBU,138,American Adjunct Lager,131,Point Special Lager,,,,
15,IBU,467,American Adjunct Lager,233,Joseph James American Lager,,,,
16,IBU,878,American Adjunct Lager,155,Lawnmower Lager,,,,
,IBU,1039,American Adjunct Lager,473,,Underachiever,,,
,IBU,1280,American Adjunct Lager,229,,Lazy Daze Lager,,,
9,IBU,2115,American Adjunct Lager,131,,Point Special Lager,,,
9,IBU,2121,American Adjunct Lager,131,Point Special (2012),,,,
9,IBU,2122,American Adjunct Lager,131,Point Special (2013),,,,
19,IBU,2212,American Adjunct Lager,38,Twisted X,,,,
9,IBU,2228,American Adjunct Lager,131,Point Special,,,,
8,IBU,2233,American Adjunct Lager,129,American Lager,,,,
,IBU,2273,American Adjunct Lager,134,Boxer,,,,
,IBU,2274,American Adjunct Lager,134,Boxer Ice,,,,
,IBU,2276,American Adjunct Lager,134,,,Boxer,,
9,IBU,2365,American Adjunct Lager,131,Point Special,,,,
9,IBU,2366,American Adjunct Lager,131,Point Special (Current),,,,
,IBU,2369,American Adjunct Lager,129,Straub Beer (Current),,,,
