"","Date","summary","Precip_Type","Temperature","Apparent_Temperature","Humidity","Wind_Speed_km_h","Wind_Bearing_degrees","Visibility_km","Cloud_Cover","Pressure_millibars","Daily_Summary","Days"
"1",2016-03-31 22:00:00,"Partly Cloudy","rain",11.8055555555556,11.8055555555556,0.71,13.8943,170,16.1,0,1014.14,"Mostly cloudy throughout the day.",90
"2",2016-03-31 23:00:00,"Partly Cloudy","rain",11.8055555555556,11.8055555555556,0.71,10.9963,172,16.1,0,1013.95,"Mostly cloudy throughout the day.",90
"3",2016-04-01 00:00:00,"Partly Cloudy","rain",11.4444444444444,11.4444444444444,0.74,12.9444,192,15.1823,0,1013.31,"Mostly cloudy throughout the day.",91
"4",2016-04-01 01:00:00,"Mostly Cloudy","rain",10.7166666666667,10.7166666666667,0.77,11.0446,171,16.1,0,1013.03,"Mostly cloudy throughout the day.",91
"5",2016-04-01 02:00:00,"Mostly Cloudy","rain",10.2333333333333,10.2333333333333,0.79,13.9265,162,16.1,0,1012.64,"Mostly cloudy throughout the day.",91
"6",2016-04-01 03:00:00,"Mostly Cloudy","rain",11,11,0.79,12.2521,179,15.1823,0,1012.35,"Mostly cloudy throughout the day.",91
"7",2016-04-01 04:00:00,"Overcast","rain",11.4166666666667,11.4166666666667,0.76,11.0607,175,16.1,0,1012.19,"Mostly cloudy throughout the day.",91
"8",2016-04-01 05:00:00,"Overcast","rain",12.3666666666667,12.3666666666667,0.73,15.1984,182,16.1,0,1012.13,"Mostly cloudy throughout the day.",91
"9",2016-04-01 06:00:00,"Overcast","rain",13.0611111111111,13.0611111111111,0.76,16.0517,189,15.1823,0,1012.07,"Mostly cloudy throughout the day.",91
"10",2016-04-01 07:00:00,"Overcast","rain",14.0777777777778,14.0777777777778,0.75,15.8102,194,16.1,0,1011.76,"Mostly cloudy throughout the day.",91
"11",2016-04-01 08:00:00,"Overcast","rain",16.2111111111111,16.2111111111111,0.66,14.5544,204,16.1,0,1012.03,"Mostly cloudy throughout the day.",91
"12",2016-04-01 09:00:00,"Overcast","rain",17.85,17.85,0.63,14.1036,219,15.5526,0,1012.03,"Mostly cloudy throughout the day.",91
"13",2016-04-01 10:00:00,"Overcast","rain",19.8388888888889,19.8388888888889,0.49,19.9801,218,15.5526,0,1012.04,"Mostly cloudy throughout the day.",91
"14",2016-04-01 11:00:00,"Overcast","rain",23.7,23.7,0.33,28.7546,250,16.1,0,1011.48,"Mostly cloudy throughout the day.",91
"15",2016-04-01 12:00:00,"Overcast","rain",22.5722222222222,22.5722222222222,0.4,29.8333,263,15.5526,0,1011.57,"Mostly cloudy throughout the day.",91
"16",2016-04-01 13:00:00,"Overcast","rain",22.7555555555555,22.7555555555555,0.37,26.726,261,16.1,0,1011.41,"Mostly cloudy throughout the day.",91
"17",2016-04-01 14:00:00,"Overcast","rain",22.8222222222222,22.8222222222222,0.37,23.4577,252,16.1,0,1011.32,"Mostly cloudy throughout the day.",91
"18",2016-04-01 15:00:00,"Mostly Cloudy","rain",22.7277777777778,22.7277777777778,0.37,26.6777,291,15.5526,0,1011.66,"Mostly cloudy throughout the day.",91
"19",2016-04-01 16:00:00,"Mostly Cloudy","rain",22.1,22.1,0.43,21.1554,299,16.1,0,1012.25,"Mostly cloudy throughout the day.",91
"20",2016-04-01 17:00:00,"Mostly Cloudy","rain",19.8833333333333,19.8833333333333,0.45,23.1357,310,15.5526,0,1013.45,"Mostly cloudy throughout the day.",91
"21",2016-04-01 18:00:00,"Mostly Cloudy","rain",17.1888888888889,17.1888888888889,0.51,22.7493,312,15.5526,0,1014.9,"Mostly cloudy throughout the day.",91
"22",2016-04-01 19:00:00,"Partly Cloudy","rain",14.9277777777778,14.9277777777778,0.6,20.3665,312,16.1,0,1016.2,"Mostly cloudy throughout the day.",91
"23",2016-04-01 20:00:00,"Partly Cloudy","rain",13.6777777777778,13.6777777777778,0.64,26.1625,1,16.1,0,1017.42,"Mostly cloudy throughout the day.",91
"24",2016-04-01 21:00:00,"Breezy and Partly Cloudy","rain",10.3666666666667,10.3666666666667,0.67,31.1374,27,15.1823,0,1018.84,"Mostly cloudy throughout the day.",91
"25",2016-04-09 22:00:00,"Overcast","rain",9.92777777777778,7.92777777777778,0.8,14.2968,280,9.982,0,1004.82,"Overcast throughout the day.",99
"26",2016-04-09 23:00:00,"Mostly Cloudy","rain",9.4,6.95,0.83,16.9855,280,9.982,0,1005.02,"Overcast throughout the day.",99
"27",2016-04-10 00:00:00,"Mostly Cloudy","rain",9.38888888888889,7.11666666666667,0.84,15.456,302,11.6886,0,1004.9,"Overcast throughout the day.",100
"28",2016-04-10 01:00:00,"Mostly Cloudy","rain",9.25,7.25555555555556,0.84,13.1376,302,11.6886,0,1005.04,"Overcast throughout the day.",100
"29",2016-04-10 02:00:00,"Mostly Cloudy","rain",8.75,6.96666666666667,0.83,11.0929,290,11.9784,0,1005.23,"Overcast throughout the day.",100
"30",2016-04-10 03:00:00,"Mostly Cloudy","rain",7.88333333333333,6.01111111111111,0.89,10.5616,286,9.982,0,1005.5,"Overcast throughout the day.",100
"31",2016-04-10 04:00:00,"Overcast","rain",7.73333333333333,6.33888888888889,0.89,8.0822,264,9.982,0,1005.72,"Overcast throughout the day.",100
"32",2016-04-10 05:00:00,"Overcast","rain",7.76111111111111,6.07222222222222,0.89,9.4829,254,9.982,0,1006.03,"Overcast throughout the day.",100
"33",2016-04-10 06:00:00,"Overcast","rain",8.8,6.85,0.89,12.1555,285,9.982,0,1006.49,"Overcast throughout the day.",100
